SlaT-2939-n17	conjuratio	v#v-w1094_MPf1_MP	coniuratio-05	n#05908882	
SlaT-2939-n18	sum	v#v-w2_MPf100_MP	identity-91		
SlaT-2940-n2	conjuro	v#v-w1029_MPf1_MP	coniuro-02	v#00706975	
SlaT-2940-n6	sum	v#v-w2_MPf112_MP	abstract		
SlaT-2941-n1	dico	v#v-w9_MPf84_MP	dico2-12	v#00953216	
SlaT-2941-n3	possum	v#v-w197_MPf4_MP			
SlaT-2943-n1	do	v#v-w72_MPf6_MP	do-poenas-NEW-02	v#02499629	impose a penalty on; inflict punishment on
SlaT-2943-n12	designo	v#v-w55_MPf7_MP	designo-08	v#02391803	
SlaT-2943-n13	interrogo	v#v-w742_MPf2_MP	interrogo-05	v#00788184	
SlaT-2944-n1	prohibeo	v#v-w381_MPf7_MP	prohibeo-03	v#00796392	
SlaT-2944-n6	repeto	v#v-w639_MPf4_MP	repteo-14	v#02275365	
SlaT-2944-n8	peto	v#v-w564_MPf7_MP	peto-NEW-19	v#01825237	to be a candidate for office
SlaT-2944-n11	profiteor	v#v-w333_MPf4_MP	profiteor-08	v#00965871	
SlaT-2945-n1	sum	v#v-w2_MPf115_MP	exist-91		
SlaT-2945-n13	egeo	v#v-w1109_MPf3_MP	egeo-01	v#01188725	
SlaT-2945-n15	stimulo	v#v-w1226_MPf2_MP	stimulo-07	v#01649999	
SlaT-2945-n17	perturbo	v#v-w1227_MPf1_MP	perturbo-01	v#00554298	
SlaT-2946-n1	paro	v#v-w572_MPf11_MP	paro-01	v#00406243	
SlaT-2946-n8	communico	v#v-w1228_MPf2_MP	communico-02	v#00813978	
SlaT-2946-n9	consilium	v#v-w316_MPf1_MP	consilium-12	n#05907682	
SlaT-2946-n11	interficio	v#v-w604_MPf4_MP	interficio-01	v#01323958	
SlaT-2946-n23	mitto	v#v-w228_MPf30_MP	mitto-18	v#01955127	
SlaT-2946-n25	corripio	v#v-w817_MPf3_MP	corripio-05	v#01212572	
SlaT-2946-n29	optineo	v#v-w1243_MPf1_MP	obtineo-NEW-01	v#02272549	take possession of by force, as after an invasion
SlaT-2947-n1	transfero	v#v-w716_MPf8_MP	transfero-17	v#02642814	
SlaT-2947-n2	cognosco	v#v-w118_MPf21_MP	cognosco-06	v#00598954	
SlaT-2947-n8	consilium	v#v-w316_MPf6_MP	consilium-12	n#05907682	
2948a1	machinor	v#v-w1100_MPf3_MP	machinor-02	v#00708128	
SlaT-2948-n7	machinor	v#v-w1100_MPf3_MP	machinor-02	v#00708128	
SlaT-2949-n1	patro	v#v-w1229_MPf1_MP	patro-01	v#00485609	
SlaT-2949-n2	maturo	v#v-w1044_MPf3_MP	maturo-NEW-04	v#00459296	urge to an unnatural speed
SlaT-2949-n5	do	v#v-w72_MPf24_MP	do-02	v#00742320	
SlaT-2949-n11	condo	v#v-w647_MPf4_MP	condo-09	v#01647229	
SlaT-2950-n1	dirimo	v#v-w1230_MPf1_MP	dirimo-NEW-09	v#02558172	hinder or prevent (the efforts, plans, or desires) of
SlaT-2950-n2	convenio	v#v-w93_MPf39_MP	conuenio-07	v#02428924	
SlaT-2950-n4	armo	v#v-w865_MPf4_MP	armo-06	v#01088381	
SlaT-2950-n8	consilium	v#v-w316_MPf1_MP	consilium-12	n#05907682	
SlaT-2951-n1	mitto	v#v-w228_MPf31_MP	mitto-18	v#01955127	
SlaT-2951-n8	annitor	v#v-w1231_MPf2_MP	adnitor-NEW-05	v#01146051	to exert much effort or energy
SlaT-2951-n10	cognosco	v#v-w118_MPf35_MP	cognosco-03	v#00594621	
SlaT-2951-n13	infestus	v#v-w1367_MPf1_MP			
SlaT-2952-n2	do	v#v-w72_MPf25_MP	do-39	v#02475922	
2952a2	volo^velle	v#v-w383_MPf6_MP	uolo-11	v#01825237	
SlaT-2952-n9	sum	v#v-w2_MPf238_MP	have-location-91		
SlaT-2952-n17	puto	v#v-w145_MPf11_MP	puto-03	v#00631737	
SlaT-2952-n22	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2952-n25	potentia	v#v-w313_MPf3_MP	potentia-04	n#05190804	
SlaT-2953-n2	occido^caedo	v#v-w628_MPf5_MP	occido-NEW-01	v#01323958 	cause to die; put to death, usually intentionally or knowingly
SlaT-2953-n8	ducto	v#v-w1173_MPf1_MP	ducto-05	v#02440244	
SlaT-2953-n11	facio	v#v-w76_MPf24_MP	facio-23	v#01712704	
SlaT-2954-n1	sum	v#v-w2_MPf113_MP	exist-91		
SlaT-2954-n2	dico	v#v-w9_MPf47_MP	dico2-21	v#01016002	
SlaT-2954-n7	patior	v#v-w450_MPf7_MP	patior-04	v#00668099	
2955a1	sum	v#v-w2_MPf113_MP	exist-91		
2955a2	dico	v#v-w9_MPf42_MP	dico2-21	v#01016002	
SlaT-2955-n3	aggredior	v#v-w779_MPf3_MP	aggredior-05	v#01120069	
SlaT-2955-n13	fidus	v#v-w1174_MPf2_MP			
SlaT-2955-n14	voluntas	v#v-w1232_MPf3_MP	uoluntas-03	n#05791602	
2956a1	dico	v#v-w9_MPf85_MP	dico2-21	v#01016002	
SlaT-2956-n3	facio	v#v-w76_MPf21_MP	facio-23	v#01712704	
SlaT-2956-n8	perpetior	v#v-w1233_MPf1_MP	perpetior-01	v#00668099	
SlaT-2957-n1	relinquo	v#v-w69_MPf13_MP	relinquo-05	v#01842367	
SlaT-2958-n1	dico	v#v-w9_MPf44_MP	dico2-12	v#00953216	
SlaT-2958-n2	conjuratio	v#v-w1094_MPf4_MP	coniuratio-05	n#05908882	
SlaT-2959-n3	video	v#v-w16_MPf20_MP	uideo-09	v#02129289	
SlaT-2959-n4	convenio	v#v-w93_MPf37_MP	conuenio-07	v#02428924	
SlaT-2959-n6	memoro	v#v-w694_MPf7_MP	memoro-05	v#01024190	
SlaT-2959-n10	ago	v#v-w250_MPf16_MP	ago-06	v#00813978	
SlaT-2959-n14	credo	v#v-w146_MPf16_MP	credo-01	v#00631737	
SlaT-2959-n16	sum	v#v-w2_MPf81_MP	have-mod-91		
SlaT-2959-n20	appello	v#v-w607_MPf5_MP	appello-09	v#00989201	
SlaT-2959-n21	cohortor	v#v-w1039_MPf2_MP	cohortor-02	v#00771341	
SlaT-2959-n22	secedo	v#v-w1234_MPf4_MP	secedo-05	v#02428487	
SlaT-2959-n24	abdo	v#v-w1235_MPf1_MP	abdo-05	v#02145271	
SlaT-2959-n26	habeo	v#v-w73_MPf16_MP	habeo-NEW-24	v#00989602	deliver (a speech, oration, or idea)
SlaT-2959-n28	amoveo	v#v-w1236_MPf2_MP	amoueo-08	v#02002720	
SlaT-2960-n1	cado	v#v-w122_MPf6_MP	cado-NEW-36	v#00339934	come to pass
SlaT-2960-n2	specto	v#v-w602_MPf2_MP	specto-NEW-24	v#02531625	put to the test, as for its quality, or give experimental use to
SlaT-2961-n2	sum	v#v-w2_MPf102_MP	have-location-01/have-91		
SlaT-2961-n6	dominatio	v#v-w1144_MPf4_MP	dominatio-04	n#14442530	
SlaT-2961-n9	capto	v#v-w923_MPf2_MP	capto-03	v#02001858	
SlaT-2962-n2	audeo	v#v-w479_MPf2_MP	audeo-04	v#02545045	
SlaT-2962-n3	cognosco	v#v-w118_MPf36_MP	cognosco-06	v#00598954	
SlaT-2962-n11	fidus	v#v-w1174_MPf2_MP			
SlaT-2962-n15	incipio	v#v-w121_MPf23_MP	incipio-02	v#00348746	
SlaT-2962-n20	intelligo	v#v-w117_MPf17_MP	intellego-02	v#00591115	
SlaT-2962-n22	sum	v#v-w2_MPf99_MP	belong-91		
2962a3	sum	v#v-w2_MPf99_MP	belong-91		
SlaT-2963-n1	sum	v#v-w2_MPf239_MP	identity-91		
SlaT-2963-n5	volo^velle	v#v-w383_MPf7_MP	uolo-11	v#01825237	
SlaT-2963-n7	nolo	v#v-w593_MPf2_MP	nolo-01	v#00797430	
SlaT-2964-n2	audio	v#v-w216_MPf4_MP	audio-10	v#02169702	
SlaT-2964-n3	agito	v#v-w631_MPf5_MP	agito-04	v#00813044	
SlaT-2964-n8	diversus	v#v-w323_MPf1_MP			
SlaT-2965-n1	accendo	v#v-w754_MPf2_MP	accendo-06	v#01761120	
SlaT-2965-n7	considero	v#v-w27_MPf11_MP	considero-NEW-15	v#00703875	consider as a possibility
SlaT-2965-n8	sum	v#v-w2_MPf100_MP	have-mod-91		
SlaT-2965-n12	vindico	v#v-w24_MPf12_MP	uindico-10	v#02497062	
SlaT-2966-n3	concedo	v#v-w352_MPf5_MP	concedo-12	v#02235229	
SlaT-2966-n10	dicio	v#v-w1088_MPf2_MP			
SlaT-2966-n12	sum	v#v-w2_MPf104_MP	identity-91		
SlaT-2966-n17	pendeo	v#v-w681_MPf3_MP	pendo-07	v#02251743	
SlaT-2967-n1	sum	v#v-w2_MPf100_MP	identity-91/have-mod-91		
SlaT-2967-n14	obnoxius	v#v-w1205_MPf1_MP			
SlaT-2967-n16	sum	v#v-w2_MPf226_MP	doppio dativo?		
SlaT-2967-n18	valeo	v#v-w622_MPf4_MP	ualeo-01	v#00065495	
SlaT-2968-n3	sum	v#v-w2_MPf240_MP	have-location-91		
SlaT-2968-n6	potentia	v#v-w313_MPf2_MP	potentia-04	n#05190804	
SlaT-2968-n10	volo^velle	v#v-w383_MPf2_MP	uolo-01	v#00698398	
SlaT-2969-n1	relinquo	v#v-w69_MPf19_MP	relinquo-NEW-08	v#02255462	let have
SlaT-2970-n1	patior	v#v-w450_MPf1_MP	patior-04	v#00668099	
SlaT-2971-n1	praesto	v#v-w581_MPf8_MP	praesto2-NEW-11		be preferable, be better
SlaT-2971-n3	emorior	v#v-w1237_MPf1_MP	emorior-04	v#00358431	
2971a2	praesto	v#v-w581_MPf8_MP	praesto2-NEW-11		be preferable, be better
SlaT-2971-n5	amitto	v#v-w596_MPf2_MP	amitto-12	v#02287789	
SlaT-2971-n10	sum	v#v-w2_MPf227_MP	doppio dativo?		
SlaT-2971-n13	alienus	v#v-w1336_MPf3_MP			
SlaT-2972-n5	sum	v#v-w2_MPf102_MP	have-location-01/have-91		
SlaT-2972-n13	vigeo	v#v-w1125_MPf2_MP	uigeo-01	v#00310386	
SlaT-2972-n15	valeo	v#v-w622_MPf4_MP	ualeo-01	v#00065495	
SlaT-2973-n1	consenesco	v#v-w1238_MPf1_MP	consenesco-07	v#00421917	
SlaT-2974-n4	opus	v#v-w1019_MPf3_MP			
SlaT-2974-n5	incipio	v#v-w121_MPf21_MP	incipio-06	v#01864230	
SlaT-2974-n6	expedio	v#v-w767_MPf5_MP	expedio-22	v#02611106	
SlaT-2975-n1	tolero	v#v-w782_MPf2_MP	tolero-02	v#00668099	
SlaT-2975-n5	sum	v#v-w2_MPf115_MP	belong-91		
SlaT-2975-n10	supero	v#v-w207_MPf3_MP	supero-17	v#02715279	
SlaT-2975-n13	profundo	v#v-w1142_MPf3_MP	profundo-06/profundo-07/profundo-14	v#01158181/v#01195804/v#02268351	
SlaT-2975-n16	extruo	v#v-w1239_MPf1_MP	exstruo-06	v#01661243	
SlaT-2975-n18	coaequo	v#v-w1240_MPf1_MP	coaequo-NEW-03	v#01307142	make level or straight
SlaT-2975-n20	desum	v#v-w229_MPf9_MP	desum-NEW-03	v#02632567	be without, lack; be deficient in
2976a1	tolero	v#v-w782_MPf2_MP	tolero-02	v#00668099	
SlaT-2976-n2	continuo	v#v-w508_MPf1_MP	continuo-04	v#01295275	
SlaT-2976-n8	sum	v#v-w2_MPf171_MP	belong-91		
SlaT-2977-n18	vinco	v#v-w143_MPf2_MP			
SlaT-2977-n3	emo	v#v-w785_MPf3_MP	emo-04	v#02207206	
SlaT-2977-n7	diruo	v#v-w1241_MPf1_MP	diruo-02	v#01656458	
SlaT-2977-n9	aedifico	v#v-w1118_MPf3_MP	aedifico-03	v#01661243	
SlaT-2977-n12	traho	v#v-w196_MPf8_MP	traho-11	v#01195804	
SlaT-2977-n16	vexo	v#v-w851_MPf4_MP	uexo-NEW-22	v#01195804	spend frivolously and unwisely
SlaT-2977-n19	libido	v#v-w1112_MPf5_MP	libido-NEW-08		unlawful or inordinate desire, passion, caprice
SlaT-2978-n3	sum	v#v-w2_MPf241_MP	belong-91		
2978a1	sum	v#v-w2_MPf171_MP	belong-91		
SlaT-2978-n9	alienus	v#v-w1336_MPf3_MP			
2978a2	sum	v#v-w2_MPf115_MP	belong-91		
2978a3	sum	v#v-w2_MPf115_MP	belong-91		
SlaT-2979-n1	habeo	MISSING	have-91		
SlaT-2980-n1	expergiscor	v#v-w1242_MPf2_MP	expergiscor-02	v#02083806	
SlaT-2981-n1	sino	v#v-w719_MPf4_MP			
SlaT-2981-n6	opto	v#v-w599_MPf3_MP	opto-05	v#01826378	
SlaT-2982-n1	pono	v#v-w12_MPf50_MP	pono-NEW-32	v#02296726	make available or accessible, provide or furnish
SlaT-2982-n5	victor	v#v-w1172_MPf1_MP	uictor-01	n#09956578	
SlaT-2983-n1	hortor	v#v-w710_MPf7_MP	hortor-05	v#01649999	
2983a2	hortor	v#v-w710_MPf7_MP	hortor-05	v#01649999	
SlaT-2984-n1	utor	v#v-w28_MPf5_MP	utor-03	v#01158872	
SlaT-2985-n1	absum	v#v-w994_MPf5_MP	absum-02	v#00421535 	
SlaT-2986-n1	ago	v#v-w250_MPf17_MP	ago-NEW-29	v#01640855	put in effect
SlaT-2986-n4	spero	v#v-w222_MPf4_MP	spero-08	v#01826723	
SlaT-2986-n9	fallo	v#v-w623_MPf5_MP	fallo-06	v#00854420	
SlaT-2986-n13	paro	v#v-w572_MPf4_MP	paro-01	v#00406243	
SlaT-2986-n15	servio	v#v-w760_MPf4_MP	seruio-06		be enslaved to, serve
2986a5	paro	v#v-w572_MPf4_MP	paro-01	v#00406243	
SlaT-2986-n17	impero	v#v-w601_MPf5_MP	impero-05	v#00751887	
SlaT-2987-n1	postulo	v#v-w768_MPf13_MP	postulo-01	v#00752764	
SlaT-2987-n2	accipio	v#v-w217_MPf32_MP	accipio-15	v#02210855	
SlaT-2987-n5	sum	v#v-w2_MPf115_MP	belong-91		
SlaT-2987-n19	video	v#v-w16_MPf71_MP	uideo-10	v#02133435	
SlaT-2987-n21	moveo	v#v-w360_MPf40_MP	moueo-05	v#00520019	
SlaT-2987-n28	propono	v#v-w68_MPf30_MP	propono-06	v#01009240	
SlaT-2987-n30	sum	v#v-w2_MPf100_MP	have-mod-91		
SlaT-2987-n34	peto	v#v-w564_MPf10_MP	peto-12	v#01433294	
SlaT-2987-n38	habeo	v#v-w73_MPf20_MP	have-91		
SlaT-2988-n1	polliceor	v#v-w822_MPf2_MP	polliceor-01/polliceor-02	v#00884317/v#00889555	
SlaT-2988-n7	proscriptio	v#v-w1244_MPf1_MP	proscribo-04	v#02480923	
SlaT-2988-n14	fero	v#v-w392_MPf10_MP	fero-37	v#01752884	
SlaT-2988-n18	libido	v#v-w1112_MPf8_MP	libido-NEW-08		unlawful or inordinate desire, passion, caprice
SlaT-2988-n19	victor	v#v-w1172_MPf1_MP	uictor-01	n#09956578	
2989a1	polliceor	v#v-w822_MPf3_MP	polliceor-01/polliceor-02	v#00884317/v#00889555	
SlaT-2989-n2	sum	v#v-w2_MPf102_MP	have-location-91		
2989a5	sum	v#v-w2_MPf102_MP	have-location-91		
SlaT-2989-n12	particeps	v#v-w1097_MPf2_MP			
SlaT-2989-n13	consilium	v#v-w316_MPf4_MP	consilium-10	n#05901508	
2990a1	polliceor	v#v-w822_MPf3_MP	polliceor-01/polliceor-02	v#00884317/v#00889555	
SlaT-2990-n1	peto	v#v-w564_MPf11_MP	peto-NEW-19	v#01825237	to be a candidate for office
SlaT-2990-n7	spero	v#v-w222_MPf5_MP	spero-08	v#01826723	
SlaT-2990-n8	sum	v#v-w2_MPf100_MP	identity-91		
SlaT-2990-n15	circumvenio	v#v-w838_MPf3_MP	circumenio-04	v#01126700	
SlaT-2990-n16	necessitudo	v#v-w1224_MPf1_MP			
2991a1	polliceor	v#v-w822_MPf3_MP	polliceor-01/polliceor-02	v#00884317/v#00889555	
SlaT-2991-n1	facio	v#v-w76_MPf24_MP	facio-25	v#01752884	
SlaT-2991-n6	ago	v#v-w250_MPf11_MP	ago-NEW-28	v#02367363	perform an action, or work out or perform (an action)
SlaT-2992-n2	increpo	v#v-w1245_MPf1_MP	increpo-02	v#00825975 	
SlaT-2992-n7	laudo	v#v-w594_MPf7_MP	laudo-03/laudo-06	v#00856824/v#00882395	
SlaT-2992-n11	nomino	v#v-w22_MPf11_MP	nomino-10	v#00975584	
SlaT-2993-n2	admoneo	v#v-w713_MPf6_MP	admoneo-01	v#00610538	
2993a2	admoneo	v#v-w713_MPf6_MP	admoneo-01	v#00610538	
SlaT-2993-n6	cupiditas	v#v-w1111_MPf3_MP	cupiditas-01	n#04945530	
2993a5	admoneo	v#v-w713_MPf6_MP	admoneo-01	v#00610538	
2993a6	admoneo	v#v-w713_MPf5_MP	admoneo-01	v#00610538	
SlaT-2993-n13	sum	v#v-w2_MPf127_MP	doppio dativo?		
SlaT-2994-n1	dimitto	v#v-w649_MPf3_MP	dimitto-08	v#02030967	
SlaT-2994-n2	video	v#v-w16_MPf62_MP	uideo-09	v#02129289	
SlaT-2994-n6	cohortor	v#v-w1039_MPf5_MP	cohortor-02	v#00771341	
SlaT-2994-n9	habeo	v#v-w73_MPf15_MP	curo-04	v#00616670	
SlaT-2994-n10	petitio	v#v-w1246_MPf1_MP	petitio-04	n#00799537	
SlaT-2994-n12	cura	v#v-w314_MPf1_MP			
SlaT-2995-n1	sum	v#v-w2_MPf113_MP	exist-91		
SlaT-2995-n4	dico	v#v-w9_MPf47_MP	dico2-21	v#01016002	
SlaT-2995-n6	circumfero	v#v-w1247_MPf1_MP	circumfero-NEW-06		cause to be distributed
SlaT-2995-n8	habeo	v#v-w73_MPf15_MP	habeo-NEW-24	v#00989602	deliver (a speech, oration, or idea)
SlaT-2995-n10	adigo	v#v-w1248_MPf2_MP	adigo-08	v#02505358	
SlaT-2995-n12	iuro	v#v-w903_MPf3_MP	iuro-05	v#00889947	
SlaT-2995-n19	permisceo	v#v-w1012_MPf3_MP	permisceo-02	v#00394813	
2996a1	sum	v#v-w2_MPf113_MP	exist-91		
2996a3	dico	v#v-w9_MPf47_MP	dico2-21	v#01016002	
SlaT-2996-n2	aperio	v#v-w699_MPf4_MP	aperio-03	v#00933821	
SlaT-2996-n4	degusto	v#v-w1250_MPf1_MP	degusto-02	v#01195299	
SlaT-2996-n5	exsecratio	v#v-w1251_MPf1_MP	exsecror-03	v#00865958	
SlaT-2996-n7	consuesco	v#v-w1252_MPf1_MP	consuesco-04	v#02600779	
SlaT-2996-n8	fio	v#v-w565_MPf7_MP	fio-03	v#00340704	
SlaT-2996-n11	consilium	v#v-w316_MPf4_MP	consilium-10	n#05901508	
SlaT-2996-n13	dicto	v#v-w1253_MPf1_MP	dictito-04	v#00820801	
SlaT-2996-n21	facio	v#v-w76_MPf13_MP	facio-23	v#01712704	
SlaT-2996-n22	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2996-n24	fidus	v#v-w1174_MPf2_MP			
SlaT-2996-n28	conscius	v#v-w264_MPf2_MP			
SlaT-2997-n1	existimo	v#v-w591_MPf6_MP	existimo-03	v#00689344	
SlaT-2997-n3	fingo	v#v-w240_MPf6_MP	fingo-12/fingo-15	v#01634424/v#01697986	
SlaT-2997-n9	credo	v#v-w146_MPf16_MP	credo-01	v#00631737	
SlaT-2997-n11	lenio	v#v-w1254_MPf1_MP	lenio-08	v#01058036	
SlaT-2997-n14	orior	v#v-w612_MPf4_MP	orior-10	v#02625786	
SlaT-2997-n20	do	v#v-w72_MPf26_MP	do-poenas-NEW-01		suffer punishment
SlaT-2998-n1	comperio	v#v-w816_MPf3_MP	comperio-03	v#00664483	
SlaT-2999-n2	sum	v#v-w2_MPf102_MP	abstract		
SlaT-2999-n3	conjuratio	v#v-w1094_MPf4_MP	coniuratio-05	n#05908882	
SlaT-2999-n9	nascor	v#v-w35_MPf8_MP	nascor-05/06	v#00360932/v#00361208	
SlaT-2999-n13	cooperio	v#v-w1255_MPf1_MP	cooperio-01	v#01332730	
SlaT-2999-n17	moveo	v#v-w360_MPf53_MP	moueo-08	v#00765649	
SlaT-3000-n1	insum	v#v-w150_MPf3_MP	insum-04	v#02705535	
3000a1	insum	v#v-w150_MPf3_MP	insum-04	v#02705535	
SlaT-3001-n2	habeo	v#v-w73_MPf20_MP	pendo-05	v#00950431	
SlaT-3001-n8	reticeo	v#v-w1256_MPf1_MP	reticeo-04	v#02146790	
SlaT-3001-n9	audio	v#v-w216_MPf4_MP	audio-10	v#02169702	
SlaT-3001-n11	occulto	v#v-w1257_MPf1_MP	occulto-01/occulto-04	v#02148369/v#02148369	
SlaT-3001-n18	dico	v#v-w9_MPf84_MP	dico2-08/dico2-18	v#00941990/v#01009240	
SlaT-3001-n20	facio	v#v-w76_MPf43_MP	facio-23	v#01712704	
SlaT-3002-n1	sum	v#v-w2_MPf115_MP	belong-91		
SlaT-3003-n1	coepio	v#v-w575_MPf4_MP	coepio-01	v#00345761	
SlaT-3003-n2	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-3003-n6	largior	v#v-w955_MPf2_MP	largior-04	v#02263692	
SlaT-3003-n10	glorior	v#v-w1258_MPf1_MP	glorior-02	v#00883226	
SlaT-3003-n12	polliceor	v#v-w822_MPf4_MP	polliceor-01/polliceor-02	v#00884317/v#00889555	
SlaT-3003-n16	minor	v#v-w1259_MPf1_MP	minor-01	v#00871405	
SlaT-3003-n19	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-3003-n21	obnoxius	v#v-w1205_MPf1_MP			
SlaT-3003-n22	agito	v#v-w631_MPf5_MP	agito-08	v#01646300	
SlaT-3003-n26	soleo	v#v-w573_MPf7_MP	soleo-02	v#02370131	
SlaT-3004-n4	habeo	v#v-w73_MPf61_MP	habeo-NEW-25		hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity
SlaT-3004-n5	cognosco	v#v-w118_MPf21_MP	cognosco-06	v#00598954	
SlaT-3004-n6	causa	v#v-w258_MPf7_MP			
SlaT-3004-n7	insolentia	v#v-w1260_MPf1_MP	insolesco-03	v#02596908	
SlaT-3004-n13	occulo	v#v-w1261_MPf1_MP	occulo-05/occulo-06	v#02144835/v#02148369	
SlaT-3004-n15	narro	v#v-w820_MPf6_MP			
SlaT-3004-n16	tollo	v#v-w336_MPf6_MP	tollo-05	v#00615774	
SlaT-3004-n17	auctor	v#v-w60_MPf9_MP	auctor-30	n#10786033	
SlaT-3004-n18	audio	v#v-w216_MPf4_MP	audio-10	v#02169702	
SlaT-3004-n20	conjuratio	v#v-w1094_MPf3_MP	coniuratio-05	n#05908882	
SlaT-3005-n1	accendo	v#v-w754_MPf3_MP	accendo-05	v#01759326	
SlaT-3005-n5	studium	v#v-w59_MPf7_MP	studeo-01	v#00601043	
SlaT-3005-n7	mando	v#v-w788_MPf2_MP	mando-09	v#02391803	
SlaT-3006-n4	aestuo	v#v-w1262_MPf2_MP	aestuo-04	v#01829292	
SlaT-3006-n9	credo	v#v-w146_MPf26_MP	credo-01	v#00631737	
SlaT-3006-n10	polluo	v#v-w1182_MPf2_MP	polluo-04	v#02547225	
SlaT-3006-n13	adipiscor	v#v-w913_MPf5_MP	adipiscor-07	v#02292125	
3006a2	adipiscor	v#v-w913_MPf5_MP	adipiscor-07	v#02292125	
SlaT-3007-n2	sum	v#v-w2_MPf171_MP			
SlaT-3007-n3	advenio	v#v-w548_MPf4_MP	aduenio-02	v#00341917	
SlaT-3008-n1	declaro	v#v-w249_MPf5_MP	declaro-04	v#00965871	
SlaT-3008-n3	habeo	v#v-w73_MPf19_MP	habeo-15	v#02445509	
SlaT-3009-n1	concutio	v#v-w872_MPf2_MP	concutio-01	v#00167385	
SlaT-3009-n2	facio	v#v-w76_MPf17_MP	facio-23	v#01712704	
SlaT-3009-n6	conjuratio	v#v-w1094_MPf1_MP	coniuratio-05	n#05908882	
SlaT-3010-n3	minuo	v#v-w524_MPf1_MP	minuo-02	v#00224901	
SlaT-3010-n8	agito	v#v-w631_MPf4_MP	agito_NEW-16	v#02445509	direct the course of; manage or control
SlaT-3011-n2	paro	v#v-w572_MPf10_MP	paro-01	v#00406243	
SlaT-3011-n7	porto	v#v-w807_MPf5_MP	porto-05	v#02077656	
SlaT-3011-n9	sumo	v#v-w14_MPf20_MP	sumo-20	v#02324026	
SlaT-3011-n18	sum	v#v-w2_MPf100_MP	identity-91		
SlaT-3011-n22	facio	v#v-w76_MPf18_MP	facio-23	v#01712704	
SlaT-3012-n1	dico	v#v-w9_MPf57_MP	dico2-21	v#01016002	
SlaT-3012-n4	adscio	v#v-w1263_MPf1_MP	ascio-04	v#02470175	
SlaT-3012-n17	tolero	v#v-w782_MPf3_MP	tolero-04	v#01184625	
SlaT-3012-n19	sumptus	v#v-w1196_MPf1_MP	sumo-15	v#02207206	
SlaT-3012-n23	conflo	v#v-w1198_MPf1_MP	conflo-09	v#01645601	
SlaT-3012-n29	facio	v#v-w76_MPf21_MP	facio-25	v#01752884	
SlaT-3012-n27	quaestus	v#v-w1195_MPf1_MP	quaestus-03	n#13258362	
SlaT-3012-n34	alienus	v#v-w1336_MPf3_MP			
SlaT-3013-n1	credo	v#v-w146_MPf26_MP	credo-01	v#00631737	
SlaT-3013-n6	sollicito	v#v-w1031_MPf4_MP	sollicito-04	v#00776523	
SlaT-3013-n9	incendo	v#v-w762_MPf3_MP	incendo-06	v#02761372	
SlaT-3013-n14	adjungo	v#v-w871_MPf2_MP	adiungo-08	v#02377938	
SlaT-3013-n16	interficio	v#v-w604_MPf4_MP	interficio-01	v#01323958	
SlaT-3014-n2	sum	v#v-w2_MPf112_MP	abstract		
SlaT-3014-n5	committo	v#v-w629_MPf4_MP	comitto-27	v#02582615	
SlaT-3015-n1	sum	v#v-w2_MPf118_MP	have-mod-91		
SlaT-3015-n4	fortuno	v#v-w1264_MPf1_MP			
SlaT-3016-n1	doceo	v#v-w165_MPf20_MP	doceo-03	v#00829107	
SlaT-3016-n7	psallo	v#v-w1265_MPf1_MP	psallo-01	v#01725051	
SlaT-3016-n10	salto	v#v-w1266_MPf1_MP	salto-01	v#01708676	
SlaT-3016-n13	sum	v#v-w2_MPf113_MP	have-mod-91		
SlaT-3016-n18	sum	v#v-w2_MPf100_MP	identity-91		
SlaT-3017-n2	sum	v#v-w2_MPf99_MP	have-mod-91		
3017a1	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-3018-n1	discerno	v#v-w1022_MPf2_MP	discerno-02	v#00698855	
SlaT-3018-n2	parco	v#v-w621_MPf2_MP	parco-02	v#01196037	
SlaT-3019-n1	accendo	v#v-w754_MPf4_MP	accendo-06	v#01761120	
SlaT-3019-n2	libido	v#v-w1112_MPf5_MP			
SlaT-3019-n4	peto	v#v-w564_MPf10_MP	peto-NEW-19		make amorous advances towards
SlaT-3019-n6	peto	v#v-w564_MPf12_MP	peto-NEW-19		make amorous advances towards
SlaT-3020-n6	prodo	v#v-w777_MPf4_MP	have-NEW-22		betray, do not maintain a word
SlaT-3020-n8	abjuro	v#v-w1267_MPf1_MP	abiuro-02	v#00834745	
SlaT-3020-n10	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-3020-n11	conscius	v#v-w264_MPf2_MP			
SlaT-3021-n1	abeo	v#v-w396_MPf4_MP	abeo-22	v#02610845	
SlaT-3023-n2	facio	v#v-w76_MPf24_MP	facio-22	v#01698271	
SlaT-3023-n4	moveo	v#v-w360_MPf40_MP	moueo-10	v#00851239	
SlaT-3023-n6	utor	v#v-w28_MPf8_MP	utor-05	v#01224415	
SlaT-3024-n1	insum	v#v-w150_MPf4_MP	insum-04	v#02705535	
